CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;10;3;2:31.147;;;155.2;
Am;2;2;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;10;3;2:31.268;+0.121;+0.121;155.0;
Am;3;3;72;TechSport;Toyota GR86;Ethan Goulart;11;10;2:31.357;+0.210;+0.089;154.9;
Am;4;4;13;BSI Racing;Toyota GR86;Westin Workman;11;10;2:31.392;+0.245;+0.035;154.9;
Am;5;5;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;11;3;2:31.415;+0.268;+0.023;154.9;
Am;6;6;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;10;5;2:31.459;+0.312;+0.044;154.8;
Am;7;7;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;11;3;2:31.507;+0.360;+0.048;154.8;
Am;8;8;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;11;6;2:31.579;+0.432;+0.072;154.7;
Am;9;9;21;Copeland Motorsports;Toyota GR86;Ford Koch;11;3;2:31.805;+0.658;+0.226;154.5;
Am;10;10;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;12;2;2:31.907;+0.760;+0.102;154.4;
Am;11;11;15;TechSport;Toyota GR86;Brett Kowalski;7;4;2:32.035;+0.888;+0.128;154.3;
Am;12;12;98;TechSport;Toyota GR86;Max Schweid;11;5;2:32.238;+1.091;+0.203;154.1;
Am;13;13;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;11;6;2:32.285;+1.138;+0.047;154.0;
Am;14;14;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;11;11;2:32.661;+1.514;+0.376;153.6;
Am;15;15;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;12;3;2:32.702;+1.555;+0.041;153.6;
Am;16;16;47;TechSport;Toyota GR86;Parker DeLong;11;5;2:32.730;+1.583;+0.028;153.6;
Am;17;17;51;BSI Racing;Toyota GR86;Massimo Sunseri;10;6;2:33.104;+1.957;+0.374;153.2;
Am;18;18;58;Copeland Motorsports;Toyota GR86;Jack Murchison;11;4;2:33.130;+1.983;+0.026;153.2;
Am;19;19;71;TechSport;Toyota GR86;Christian Weir;11;3;2:33.165;+2.018;+0.035;153.1;
Am;20;20;03;Precision Racing LA;Toyota GR86;Karl Forman;12;6;2:33.465;+2.318;+0.300;152.8;
Am;21;21;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;10;7;2:34.195;+3.048;+0.730;152.1;
Am;22;22;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;12;4;2:34.562;+3.415;+0.367;151.7;
Am;23;23;3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jason Kos;11;4;2:34.635;+3.488;+0.073;151.7;
Am;24;24;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;11;10;2:34.675;+3.528;+0.040;151.6;
Am;25;25;86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Andrew Gilleland;11;10;2:36.322;+5.175;+1.647;150.0;
Am;26;26;12;BSI Racing;Toyota GR86;John Lennon;12;9;2:37.027;+5.880;+0.705;149.4;
Am;27;27;18;Precision Racing LA;Toyota GR86;Rutledge Wood;9;5;2:38.810;+7.663;+1.783;147.7;
Am;28;28;8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Tom Rudnai;11;11;2:39.445;+8.298;+0.635;147.1;
Am;29;29;57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jeff Curry;11;7;2:40.070;+8.923;+0.625;146.5;
