POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;46;3;2:31.147;-;-;155.2;10;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;;;;;;;;
2;55;3;2:31.268;+0.121;+0.121;155.0;10;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;;;;;;;;
3;72;10;2:31.357;+0.210;+0.089;154.9;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;;;;;;;;
4;13;10;2:31.392;+0.245;+0.035;154.9;11;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;;;;;;;;
5;2;3;2:31.415;+0.268;+0.023;154.9;11;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;;;;;;;;
6;22;5;2:31.459;+0.312;+0.044;154.8;10;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jeremy;Fletcher;;;;;;;;;;
7;31;3;2:31.507;+0.360;+0.048;154.8;11;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;;;;;;;;
8;7;6;2:31.579;+0.432;+0.072;154.7;11;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;;;;;;;;
9;21;3;2:31.805;+0.658;+0.226;154.5;11;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;;;;;;;;
10;5;2;2:31.907;+0.760;+0.102;154.4;12;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;;;;;;;;
11;15;4;2:32.035;+0.888;+0.128;154.3;7;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;;;;;;;;
12;98;5;2:32.238;+1.091;+0.203;154.1;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;;;;;;;;
13;41;6;2:32.285;+1.138;+0.047;154.0;11;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;;;;;;;;
14;88;11;2:32.661;+1.514;+0.376;153.6;11;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Stallone;;;;;;;;;;
15;113;3;2:32.702;+1.555;+0.041;153.6;12;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;;;;;;;;
16;47;5;2:32.730;+1.583;+0.028;153.6;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Parker;DeLong;;;;;;;;;;
17;51;6;2:33.104;+1.957;+0.374;153.2;10;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;;;;;;;;
18;58;4;2:33.130;+1.983;+0.026;153.2;11;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jack;Murchison;;;;;;;;;;
19;71;3;2:33.165;+2.018;+0.035;153.1;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;;;;;;;;
20;03;6;2:33.465;+2.318;+0.300;152.8;12;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;;;;;;;;
21;89;7;2:34.195;+3.048;+0.730;152.1;10;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;;;;;;;;
22;80;4;2:34.562;+3.415;+0.367;151.7;12;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;;;;;;;;
23;3;4;2:34.635;+3.488;+0.073;151.7;11;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos;;;;;;;;;;
24;11;10;2:34.675;+3.528;+0.040;151.6;11;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;;;;;;;;
