NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:14.630;0;;1:18.573;0;1:03.349;0;52.708;0;120.5;3:14.630;09:54:44.630;1:18.573;1:03.349;0:52.708;;Karl Forman;0:00:31.935;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;78.573;63.349;52.708;50.502;50.502;28.071;1:18.573;31.709;1:50.282;31.640;2:21.922;28.532;2:50.454;24.176;3:14.630;
03;1;2;2:35.381;0;;45.206;0;58.610;0;51.565;0;150.9;5:50.011;09:57:20.011;0:45.206;0:58.610;0:51.565;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.206;58.610;51.565;19.334;19.334;25.872;45.206;28.916;1:14.122;29.694;1:43.816;27.106;2:10.922;24.459;2:35.381;
03;1;3;2:34.770;0;;45.252;0;58.407;0;51.111;0;151.5;8:24.781;09:59:54.781;0:45.252;0:58.407;0:51.111;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.252;58.407;51.111;19.352;19.352;25.900;45.252;28.663;1:13.915;29.744;1:43.659;27.051;2:10.710;24.060;2:34.770;
03;1;4;2:33.475;0;;44.780;0;58.086;2;50.609;0;152.8;10:58.256;10:02:28.256;0:44.780;0:58.086;0:50.609;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.780;58.086;50.609;19.065;19.065;25.715;44.780;28.455;1:13.235;29.631;1:42.866;26.860;2:09.726;23.749;2:33.475;
03;1;5;2:44.689;0;;47.868;0;1:06.013;0;50.808;0;142.4;13:42.945;10:05:12.945;0:47.868;1:06.013;0:50.808;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;47.868;66.013;50.808;19.287;19.287;28.581;47.868;33.418;1:21.286;32.595;1:53.881;26.991;2:20.872;23.817;2:44.689;
03;1;6;2:33.465;2;;44.659;0;58.205;0;50.601;2;152.8;16:16.410;10:07:46.410;0:44.659;0:58.205;0:50.601;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.659;58.205;50.601;18.914;18.914;25.745;44.659;28.532;1:13.191;29.673;1:42.864;26.822;2:09.686;23.779;2:33.465;
03;1;7;2:35.708;0;;44.585;2;58.879;0;52.244;0;150.6;18:52.118;10:10:22.118;0:44.585;0:58.879;0:52.244;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.585;58.879;52.244;18.844;18.844;25.741;44.585;28.813;1:13.398;30.066;1:43.464;27.656;2:11.120;24.588;2:35.708;
03;1;8;2:33.481;0;;44.718;0;58.115;0;50.648;0;152.8;21:25.599;10:12:55.599;0:44.718;0:58.115;0:50.648;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.718;58.115;50.648;19.019;19.019;25.699;44.718;28.431;1:13.149;29.684;1:42.833;26.893;2:09.726;23.755;2:33.481;
03;1;9;2:34.202;0;;;0;;0;51.199;0;152.1;23:59.801;10:15:29.801;;;0:51.199;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;;;51.199;18.797;18.797;;;;1:13.248;29.755;1:43.003;27.001;2:10.004;24.198;2:34.202;
03;1;10;2:33.576;0;;;0;;0;50.908;0;152.7;26:33.377;10:18:03.377;;;0:50.908;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;;;50.908;18.905;18.905;;;;1:13.061;29.607;1:42.668;27.108;2:09.776;23.800;2:33.576;
