POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;13;6;1:37.878;-;-;136.1;14;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
2;22;3;1:38.034;+0.156;+0.156;135.9;15;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jeremy;Fletcher;;;USA;;;;;;;
3;2;10;1:38.188;+0.310;+0.154;135.7;16;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
4;47;7;1:38.416;+0.538;+0.228;135.4;17;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Parker;DeLong;;;USA;;;;;;;
5;55;10;1:38.520;+0.642;+0.104;135.3;17;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
6;46;4;1:38.523;+0.645;+0.003;135.3;17;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
7;98;4;1:38.553;+0.675;+0.030;135.2;17;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
8;72;14;1:38.666;+0.788;+0.113;135.1;15;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
9;21;6;1:38.815;+0.937;+0.149;134.9;17;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
10;7;7;1:38.821;+0.943;+0.006;134.8;15;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
11;5;3;1:38.948;+1.070;+0.127;134.7;18;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
12;88;5;1:39.051;+1.173;+0.103;134.5;18;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Stallone;;;USA;;;;;;;
13;31;10;1:39.070;+1.192;+0.019;134.5;15;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
14;113;4;1:39.181;+1.303;+0.111;134.4;16;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
15;41;2;1:39.261;+1.383;+0.080;134.2;17;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
16;51;3;1:39.331;+1.453;+0.070;134.2;18;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
17;80;6;1:39.756;+1.878;+0.425;133.6;18;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
18;111;16;1:39.767;+1.889;+0.011;133.6;17;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Isabella;Robusto;;;USA;;;;;;;
19;03;11;1:40.006;+2.128;+0.239;133.2;18;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
20;93;9;1:40.159;+2.281;+0.153;133.0;18;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
21;58;5;1:40.868;+2.990;+0.709;132.1;17;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Liam;Harrison;;;USA;;;;;;;
22;18;18;1:41.970;+4.092;+1.102;130.7;18;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;USA;;;;;;;
