NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:16.466;0;;1:07.347;0;1:04.917;0;1:04.202;0;100.3;3:16.466;08:58:16.466;1:07.347;1:04.917;1:04.202;192.2;Karl Forman;0:00:35.629;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;67.347;64.917;64.202;52.592;52.592;14.755;1:07.347;26.898;1:34.245;38.019;2:12.264;31.246;2:43.510;32.956;3:16.466;
03;1;2;2:32.329;0;;33.150;0;58.522;0;1:00.657;0;129.3;5:48.795;09:00:48.795;0:33.150;0:58.522;1:00.657;202.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.150;58.522;60.657;20.563;20.563;12.587;33.150;22.824;55.974;35.698;1:31.672;29.553;2:01.225;31.104;2:32.329;
03;1;3;2:31.061;2;;32.993;0;58.309;0;59.759;2;130.4;8:19.856;09:03:19.856;0:32.993;0:58.309;0:59.759;203.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;32.993;58.309;59.759;20.548;20.548;12.445;32.993;22.711;55.704;35.598;1:31.302;28.787;2:00.089;30.972;2:31.061;
03;1;4;2:31.085;0;;32.845;0;57.982;2;1:00.258;0;130.4;10:50.941;09:05:50.941;0:32.845;0:57.982;1:00.258;201.5;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;32.845;57.982;60.258;20.339;20.339;12.506;32.845;22.563;55.408;35.419;1:30.827;29.124;1:59.951;31.134;2:31.085;
03;1;5;2:31.525;0;;32.810;2;58.256;0;1:00.459;0;130.0;13:22.466;09:08:22.466;0:32.810;0:58.256;1:00.459;200.7;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;32.810;58.256;60.459;20.327;20.327;12.483;32.810;22.541;55.351;35.715;1:31.066;29.322;2:00.388;31.137;2:31.525;
03;1;6;2:35.435;0;;33.624;0;58.922;0;1:02.889;0;126.7;15:57.901;09:10:57.901;0:33.624;0:58.922;1:02.889;200.7;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;33.624;58.922;62.889;20.959;20.959;12.665;33.624;23.206;56.830;35.716;1:32.546;29.032;2:01.578;33.857;2:35.435;
11;1;1;2:40.910;0;;39.071;0;1:00.760;0;1:01.079;0;122.4;2:40.910;08:57:40.910;0:39.071;1:00.760;1:01.079;195.7;Farran Davis;0:00:08.535;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;39.071;60.760;61.079;25.087;25.087;13.984;39.071;24.355;1:03.426;36.405;1:39.831;29.555;2:09.386;31.524;2:40.910;
11;1;2;2:31.361;0;;33.047;0;58.137;0;1:00.177;0;130.1;5:12.271;09:00:12.271;0:33.047;0:58.137;1:00.177;209.3;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;33.047;58.137;60.177;20.392;20.392;12.655;33.047;22.738;55.785;35.399;1:31.184;29.021;2:00.205;31.156;2:31.361;
11;1;3;2:32.134;0;;33.577;0;58.764;0;59.793;0;129.5;7:44.405;09:02:44.405;0:33.577;0:58.764;0:59.793;198.5;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;33.577;58.764;59.793;20.510;20.510;13.067;33.577;22.945;56.522;35.819;1:32.341;28.937;2:01.278;30.856;2:32.134;
11;1;4;2:29.749;2;;32.559;2;57.587;2;59.603;2;131.5;10:14.154;09:05:14.154;0:32.559;0:57.587;0:59.603;207.7;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;32.559;57.587;59.603;20.168;20.168;12.391;32.559;22.497;55.056;35.090;1:30.146;28.824;1:58.970;30.779;2:29.749;
11;1;5;2:31.942;0;;33.226;0;58.075;0;1:00.641;0;129.6;12:46.096;09:07:46.096;0:33.226;0:58.075;1:00.641;210.9;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;33.226;58.075;60.641;20.721;20.721;12.505;33.226;22.692;55.918;35.383;1:31.301;29.340;2:00.641;31.301;2:31.942;
11;1;6;2:31.517;0;;33.764;0;58.103;0;59.650;0;130.0;15:17.613;09:10:17.613;0:33.764;0:58.103;0:59.650;206.9;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;33.764;58.103;59.650;21.234;21.234;12.530;33.764;22.768;56.532;35.335;1:31.867;28.828;2:00.695;30.822;2:31.517;
113;1;1;3:56.141;0;;1:44.157;0;1:09.909;0;1:02.075;0;83.4;3:56.141;08:58:56.141;1:44.157;1:09.909;1:02.075;142.1;Ethan Tovo;0:01:10.861;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;104.157;69.909;62.075;1:27.047;1:27.047;17.110;1:44.157;26.976;2:11.133;42.933;2:54.066;30.941;3:25.007;31.134;3:56.141;
113;1;2;2:29.925;0;;32.857;0;57.526;0;59.542;0;131.4;6:26.066;09:01:26.066;0:32.857;0:57.526;0:59.542;210.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;32.857;57.526;59.542;20.495;20.495;12.362;32.857;22.554;55.411;34.972;1:30.383;28.597;1:58.980;30.945;2:29.925;
113;1;3;2:28.686;2;;32.405;0;56.726;2;59.555;0;132.5;8:54.752;09:03:54.752;0:32.405;0:56.726;0:59.555;210.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;32.405;56.726;59.555;20.166;20.166;12.239;32.405;21.940;54.345;34.786;1:29.131;28.955;1:58.086;30.600;2:28.686;
113;1;4;2:37.079;0;B;32.191;2;58.180;0;1:06.708;0;125.4;11:31.831;09:06:31.831;0:32.191;0:58.180;1:06.708;207.7;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;32.191;58.180;66.708;19.914;19.914;12.277;32.191;22.659;54.850;35.521;1:30.371;29.379;1:59.750;37.329;2:37.079;
113;1;5;2:53.414;0;;56.493;0;57.748;0;59.173;2;113.6;14:25.245;09:09:25.245;0:56.493;0:57.748;0:59.173;204.5;Ethan Tovo;0:00:37.546;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;56.493;57.748;59.173;44.063;44.063;12.430;56.493;22.295;1:18.788;35.453;1:54.241;28.593;2:22.834;30.580;2:53.414;
113;1;6;2:30.097;0;;32.711;0;57.868;0;59.518;0;131.2;16:55.342;09:11:55.342;0:32.711;0:57.868;0:59.518;203.0;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;FF;32.711;57.868;59.518;20.376;20.376;12.335;32.711;22.375;55.086;35.493;1:30.579;28.695;1:59.274;30.823;2:30.097;
13;1;1;2:38.570;0;;39.636;0;59.921;0;59.013;0;124.2;2:38.570;08:57:38.570;0:39.636;0:59.921;0:59.013;197.1;Westin Workman;0:00:10.641;Am;;BSI Racing;Toyota Gazoo Racing;GF;39.636;59.921;59.013;26.621;26.621;13.015;39.636;24.124;1:03.760;35.797;1:39.557;28.550;2:08.107;30.463;2:38.570;
13;1;2;2:27.408;0;;32.304;0;56.559;0;58.545;0;133.6;5:05.978;09:00:05.978;0:32.304;0:56.559;0:58.545;204.5;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;32.304;56.559;58.545;20.092;20.092;12.212;32.304;21.720;54.024;34.839;1:28.863;28.233;1:57.096;30.312;2:27.408;
