NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;7;2:27.023;5;2:27.098;7;2:27.420;3;2:28.500;4;2:28.686;6;2:28.771;2;;0;;0;;0;;0;2:27.916;
3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jason;Kos;6;2:29.586;5;2:29.682;3;2:29.716;4;2:29.845;2;2:31.897;6;;0;;0;;0;;0;;0;2:30.145;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;6;2:31.061;3;2:31.085;4;2:31.525;5;2:32.329;2;2:35.435;6;;0;;0;;0;;0;;0;2:32.287;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;6;2:29.002;3;2:29.670;2;2:29.905;5;2:33.870;4;;0;;0;;0;;0;;0;;0;2:30.611;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;6;2:26.939;4;2:27.154;2;2:29.327;3;2:29.669;5;;0;;0;;0;;0;;0;;0;2:28.272;
8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Tom;Rudnai;6;2:34.660;6;2:35.269;5;2:35.562;4;2:35.682;3;2:39.506;2;;0;;0;;0;;0;;0;2:36.135;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;6;2:29.749;4;2:31.361;2;2:31.517;6;2:31.942;5;2:32.134;3;;0;;0;;0;;0;;0;2:31.340;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;6;2:27.091;3;2:27.408;2;2:29.150;4;;0;;0;;0;;0;;0;;0;;0;2:27.883;
14;Skip Barber Racing;Toyota GR86;Am;Alex;Garcia;6;2:29.567;6;2:29.642;3;;0;;0;;0;;0;;0;;0;;0;;0;2:29.604;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;6;2:29.725;6;2:29.948;5;2:29.961;3;2:31.386;2;2:32.094;4;;0;;0;;0;;0;;0;2:30.622;
