NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;9;2:32.098;9;2:32.379;8;2:32.682;4;2:33.057;3;2:33.108;7;2:33.720;2;;0;;0;;0;;0;2:32.840;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;8;2:34.533;7;2:34.832;8;2:34.866;6;2:35.138;3;2:35.868;2;;0;;0;;0;;0;;0;2:35.047;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;4;2:34.052;4;2:34.672;3;2:35.828;2;;0;;0;;0;;0;;0;;0;;0;2:34.850;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;9;2:32.756;3;2:32.900;4;2:33.013;9;2:33.703;8;2:35.756;2;2:36.737;7;;0;;0;;0;;0;2:34.144;
8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Tom;Rudnai;8;2:38.081;8;2:39.969;7;2:41.090;4;2:42.810;3;2:45.021;2;;0;;0;;0;;0;;0;2:41.394;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;9;2:35.977;7;2:36.091;3;2:36.306;2;2:36.944;9;2:37.074;4;2:37.538;8;;0;;0;;0;;0;2:36.655;
12;BSI Racing;Toyota GR86;Am;John;Lennon;9;2:37.943;8;2:38.181;2;2:39.000;9;2:39.327;4;2:40.172;3;2:40.591;7;;0;;0;;0;;0;2:39.202;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;9;2:32.659;7;2:32.875;4;2:33.036;3;2:33.445;2;2:34.057;8;;0;;0;;0;;0;;0;2:33.214;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;9;2:33.783;7;2:33.840;8;2:33.938;9;2:34.023;3;2:34.627;4;2:34.997;2;;0;;0;;0;;0;2:34.201;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;6;2:43.326;6;2:44.523;5;2:47.091;2;;0;;0;;0;;0;;0;;0;;0;2:44.980;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;9;2:33.693;3;2:34.046;7;2:34.537;4;2:34.722;9;2:36.466;2;2:39.103;8;;0;;0;;0;;0;2:35.427;
22;Copeland Motorsports;Toyota GR86;Am;Jeremy;Fletcher;9;2:31.912;7;2:32.415;3;2:33.218;2;2:35.968;4;2:39.646;8;;0;;0;;0;;0;;0;2:34.631;
