POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;16;5;2:25.901;-;-;148.5;9;Copeland Motorsports;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;John;Dean;;;USA;;;;;;;
2;13;4;2:25.905;+0.004;+0.004;148.5;10;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
3;113;4;2:26.057;+0.156;+0.152;148.4;10;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
4;72;4;2:26.075;+0.174;+0.018;148.3;9;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
5;7;9;2:26.151;+0.250;+0.076;148.3;10;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
6;55;10;2:26.261;+0.360;+0.110;148.1;10;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
7;78;4;2:26.297;+0.396;+0.036;148.1;10;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
8;46;4;2:26.384;+0.483;+0.087;148.0;10;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
9;2;9;2:26.460;+0.559;+0.076;147.9;9;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
10;15;5;2:26.608;+0.707;+0.148;147.8;10;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
11;98;7;2:26.713;+0.812;+0.105;147.7;10;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
12;88;4;2:27.046;+1.145;+0.333;147.4;10;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Zach;Hollingshead;;;USA;;;;;;;
13;31;6;2:27.087;+1.186;+0.041;147.3;10;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
14;5;4;2:27.188;+1.287;+0.101;147.2;10;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
15;41;10;2:27.454;+1.553;+0.266;146.9;10;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
16;21;5;2:27.530;+1.629;+0.076;146.9;9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
17;47;4;2:27.602;+1.701;+0.072;146.8;10;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ayden;Kirk;;;USA;;;;;;;
18;80;6;2:27.742;+1.841;+0.140;146.7;8;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
19;03;10;2:28.437;+2.536;+0.695;146.0;10;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
20;51;4;2:28.446;+2.545;+0.009;146.0;10;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
21;11;8;2:28.732;+2.831;+0.286;145.7;9;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;USA;;;;;;;
22;71;0;;;;;2;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
