NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;5:33.978;0;;2:52.177;0;1:24.789;0;1:17.012;0;70.2;5:33.978;08:45:33.978;2:52.177;1:24.789;1:17.012;178.2;Karl Forman;0:02:03.591;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;172.177;84.789;77.012;2:22.111;2:22.111;30.066;2:52.177;39.484;3:31.661;45.305;4:16.966;52.536;5:09.502;24.476;5:33.978;
03;1;2;2:34.995;2;;45.140;2;59.223;2;50.632;2;151.3;8:08.973;08:48:08.973;0:45.140;0:59.223;0:50.632;214.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.140;59.223;50.632;18.840;18.840;26.300;45.140;28.982;1:14.122;30.241;1:44.363;26.948;2:11.311;23.684;2:34.995;
03;1;3;3:23.295;0;B;47.226;0;1:05.752;0;1:30.317;0;115.4;11:32.268;08:51:32.268;0:47.226;1:05.752;1:30.317;209.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;RF;47.226;65.752;90.317;20.663;20.663;26.563;47.226;31.565;1:18.791;34.187;1:52.978;35.319;2:28.297;54.998;3:23.295;
11;1;1;3:12.052;0;;1:10.759;0;1:06.661;0;54.632;0;122.1;3:12.052;08:43:12.052;1:10.759;1:06.661;0:54.632;204.2;Farran Davis;0:00:23.122;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;70.759;66.661;54.632;41.015;41.015;29.744;1:10.759;34.138;1:44.897;32.523;2:17.420;30.454;2:47.874;24.178;3:12.052;
11;1;2;2:35.865;0;;44.764;0;59.419;0;51.682;0;150.5;5:47.917;08:45:47.917;0:44.764;0:59.419;0:51.682;208.1;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.764;59.419;51.682;18.846;18.846;25.918;44.764;29.209;1:13.973;30.210;1:44.183;27.847;2:12.030;23.835;2:35.865;
11;1;3;2:34.891;2;;44.738;2;58.680;2;51.473;2;151.4;8:22.808;08:48:22.808;0:44.738;0:58.680;0:51.473;208.1;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.738;58.680;51.473;18.767;18.767;25.971;44.738;28.764;1:13.502;29.916;1:43.418;27.835;2:11.253;23.638;2:34.891;
11;1;4;3:28.842;0;B;46.650;0;1:16.544;0;1:25.648;0;112.3;11:51.650;08:51:51.650;0:46.650;1:16.544;1:25.648;207.3;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;RF;46.650;76.544;85.648;18.969;18.969;27.681;46.650;36.471;1:23.121;40.073;2:03.194;37.070;2:40.264;48.578;3:28.842;
113;1;1;3:07.019;0;;1:10.231;0;1:05.692;0;51.096;0;125.4;3:07.019;08:43:07.019;1:10.231;1:05.692;0:51.096;213.0;Ethan Tovo;0:00:23.752;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;70.231;65.692;51.096;41.116;41.116;29.115;1:10.231;34.059;1:44.290;31.633;2:15.923;27.607;2:43.530;23.489;3:07.019;
113;1;2;2:33.071;0;;43.736;0;58.545;0;50.790;0;153.2;5:40.090;08:45:40.090;0:43.736;0:58.545;0:50.790;212.2;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.736;58.545;50.790;18.162;18.162;25.574;43.736;28.857;1:12.593;29.688;1:42.281;27.315;2:09.596;23.475;2:33.071;
113;1;3;2:31.413;2;;43.594;2;57.744;2;50.075;2;154.9;8:11.503;08:48:11.503;0:43.594;0:57.744;0:50.075;217.3;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.594;57.744;50.075;18.117;18.117;25.477;43.594;28.353;1:11.947;29.391;1:41.338;26.710;2:08.048;23.365;2:31.413;
