NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;6;2:07.051;2;2:07.197;5;2:07.258;6;2:07.634;3;2:10.624;4;;0;;0;;0;;0;;0;2:07.952;
12;BSI Racing;Toyota GR86;Am;John;Lennon;7;2:12.873;7;2:13.367;4;2:14.431;6;2:14.997;3;2:15.033;5;2:16.525;2;;0;;0;;0;;0;2:14.537;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;7;2:06.489;6;2:06.490;7;2:06.834;3;2:07.082;5;2:07.215;2;2:11.927;4;;0;;0;;0;;0;2:07.672;
98;TechSport;Toyota GR86;Am;Max;Schweid;7;2:07.374;3;2:07.704;7;2:07.956;6;2:08.468;4;2:09.390;5;2:10.327;2;;0;;0;;0;;0;2:08.536;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;7;2:07.498;7;2:07.584;4;2:07.750;3;2:07.787;5;2:07.910;2;2:08.202;6;;0;;0;;0;;0;2:07.788;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;6;2:06.600;3;2:06.922;6;2:07.881;2;2:08.306;4;2:10.518;5;;0;;0;;0;;0;;0;2:08.045;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;5;2:06.729;5;2:07.183;3;2:07.277;2;2:11.108;4;;0;;0;;0;;0;;0;;0;2:08.074;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;6;2:07.838;4;2:08.483;6;2:08.514;3;2:09.515;2;2:09.979;5;;0;;0;;0;;0;;0;2:08.865;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;7;2:08.071;7;2:08.299;4;2:08.684;2;2:08.949;5;2:08.993;6;2:09.717;3;;0;;0;;0;;0;2:08.785;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;7;2:09.412;3;2:09.435;4;2:09.811;2;2:10.131;6;2:11.180;7;2:11.589;5;;0;;0;;0;;0;2:10.259;
111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Isabella;Robusto;7;2:07.963;5;2:08.153;7;2:08.317;4;2:08.454;3;2:08.868;2;2:09.396;6;;0;;0;;0;;0;2:08.525;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Max;Stallone;7;2:07.306;4;2:08.481;6;2:09.033;3;2:09.614;7;2:09.652;2;2:11.882;5;;0;;0;;0;;0;2:09.328;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;6;2:07.437;3;2:07.593;4;2:07.891;6;2:08.298;2;2:09.267;5;;0;;0;;0;;0;;0;2:08.097;
61;Skip Barber Racing;Toyota GR86;Am;James;Klimas;7;2:10.410;7;2:10.873;4;2:10.907;5;2:11.283;6;2:12.367;3;2:20.783;2;;0;;0;;0;;0;2:12.770;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;7;2:08.995;3;2:09.295;5;2:09.388;2;2:09.482;4;2:09.912;7;2:10.225;6;;0;;0;;0;;0;2:09.549;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;7;2:07.748;5;2:07.820;3;2:07.849;4;2:07.856;7;2:08.837;2;2:11.358;6;;0;;0;;0;;0;2:08.578;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;6;2:08.121;4;2:08.579;5;2:08.967;6;2:08.983;3;2:09.265;2;;0;;0;;0;;0;;0;2:08.783;
71;TechSport;Toyota GR86;Am;Christian;Weir;7;2:06.863;4;2:07.135;3;2:07.741;2;2:07.782;7;2:08.053;5;2:09.191;6;;0;;0;;0;;0;2:07.794;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;7;2:06.628;7;2:06.831;6;2:06.877;3;2:07.442;2;2:08.040;4;2:13.109;5;;0;;0;;0;;0;2:08.154;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;7;2:08.262;4;2:08.486;3;2:08.754;7;2:08.869;6;2:08.957;5;2:09.459;2;;0;;0;;0;;0;2:08.797;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;7;2:08.858;7;2:09.183;6;2:09.502;4;2:10.064;3;2:10.237;5;2:12.810;2;;0;;0;;0;;0;2:10.109;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;6;2:06.702;5;2:06.983;4;2:07.714;2;2:13.094;3;2:15.105;6;;0;;0;;0;;0;;0;2:09.919;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;7;2:07.507;5;2:08.066;4;2:08.276;7;2:08.810;2;2:09.448;6;2:09.675;3;;0;;0;;0;;0;2:08.630;
