POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;5;2:07.560;-;-;148.5;12;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
2;72;9;2:07.567;+0.007;+0.007;148.5;9;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
3;13;4;2:07.606;+0.046;+0.039;148.5;10;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
4;7;4;2:07.691;+0.131;+0.085;148.4;11;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
5;71;6;2:07.834;+0.274;+0.143;148.2;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
6;55;5;2:07.944;+0.384;+0.110;148.1;11;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
7;15;5;2:08.108;+0.548;+0.164;147.9;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
8;98;11;2:08.248;+0.688;+0.140;147.7;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
9;46;11;2:08.700;+1.140;+0.452;147.2;11;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
10;113;3;2:08.754;+1.194;+0.054;147.1;10;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
11;31;9;2:08.786;+1.226;+0.032;147.1;10;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
12;21;11;2:09.028;+1.468;+0.242;146.8;11;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
13;41;4;2:09.088;+1.528;+0.060;146.8;10;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
14;5;5;2:09.198;+1.638;+0.110;146.6;12;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
15;89;4;2:09.206;+1.646;+0.008;146.6;12;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;ITA;;;;;;;
16;93;5;2:09.642;+2.082;+0.436;146.1;9;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
17;78;10;2:09.707;+2.147;+0.065;146.1;10;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
18;88;3;2:09.745;+2.185;+0.038;146.0;11;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Stallone;;;USA;;;;;;;
19;03;6;2:09.961;+2.401;+0.216;145.8;11;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
20;51;3;2:10.504;+2.944;+0.543;145.2;9;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
21;80;6;2:10.560;+3.000;+0.056;145.1;11;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
22;61;4;2:11.613;+4.053;+1.053;143.9;4;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;James;Klimas;;;USA;;;;;;;
23;12;10;2:16.237;+8.677;+4.624;139.1;11;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Lennon;;;USA;;;;;;;
24;16;0;;;;;0;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Dean;;;USA;;;;;;;
25;111;0;;;;;0;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Isabella;Robusto;;;USA;;;;;;;
