NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;9;1:37.243;8;1:37.355;6;1:37.481;5;1:38.027;2;1:38.449;7;1:38.792;3;1:38.793;4;;0;;0;;0;1:38.020;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;9;1:38.109;7;1:38.335;4;1:38.857;5;1:38.869;6;1:38.875;8;1:38.891;3;1:39.553;2;;0;;0;;0;1:38.784;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;9;1:37.597;3;1:37.655;9;1:37.711;8;1:37.890;6;1:37.998;5;1:38.082;4;1:38.771;2;1:43.600;7;;0;;0;1:38.663;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;9;1:37.484;4;1:37.611;6;1:37.668;9;1:37.946;2;1:38.715;3;1:39.405;7;1:45.559;8;1:50.485;5;;0;;0;1:40.609;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;5;1:36.493;4;1:36.733;3;1:37.439;2;;0;;0;;0;;0;;0;;0;;0;1:36.888;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;9;1:40.894;8;1:41.396;7;1:41.440;3;1:41.513;9;1:41.944;6;1:43.080;2;1:43.330;5;1:58.602;4;;0;;0;1:44.024;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;9;1:37.465;9;1:37.656;8;1:37.768;5;1:38.405;3;1:38.423;4;1:38.689;2;1:41.358;6;1:42.235;7;;0;;0;1:38.999;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;9;1:37.381;6;1:37.696;3;1:37.804;4;1:38.049;9;1:38.307;7;1:38.332;2;1:38.772;8;1:41.478;5;;0;;0;1:38.477;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;9;1:37.456;3;1:37.599;7;1:37.738;9;1:37.765;6;1:37.783;4;1:39.613;8;1:40.764;2;1:41.008;5;;0;;0;1:38.715;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;9;1:37.298;3;1:37.308;7;1:37.415;5;1:37.455;6;1:37.783;2;1:38.980;4;1:49.141;8;;0;;0;;0;1:39.340;
47;TechSport;Toyota GR86;Am;Parker;DeLong;9;1:37.040;6;1:37.113;9;1:37.374;3;1:37.453;2;1:37.502;4;1:38.038;7;1:40.019;8;1:40.574;5;;0;;0;1:38.139;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;9;1:37.850;4;1:38.157;5;1:38.164;9;1:38.484;3;1:38.618;8;1:38.775;6;1:38.980;2;1:43.534;7;;0;;0;1:39.070;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;9;1:37.026;6;1:37.081;3;1:37.082;7;1:37.844;5;1:38.530;2;1:38.615;8;1:40.115;4;;0;;0;;0;1:38.041;
58;Copeland Motorsports;Toyota GR86;Am;Liam;Harrison;9;1:38.884;7;1:38.988;4;1:38.996;6;1:39.422;8;1:39.741;3;1:40.207;2;1:47.688;5;;0;;0;;0;1:40.560;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;9;1:36.846;6;1:37.072;7;1:37.121;3;1:37.396;2;1:39.699;4;1:39.961;5;1:41.597;8;;0;;0;;0;1:38.527;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;9;1:38.339;7;1:38.409;3;1:38.595;6;1:38.642;4;1:39.026;2;1:39.071;8;1:39.081;5;1:41.847;9;;0;;0;1:39.126;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Max;Stallone;9;1:37.936;8;1:38.216;3;1:38.590;4;1:38.936;2;1:39.098;6;1:40.101;9;1:40.416;5;1:41.832;7;;0;;0;1:39.390;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;9;1:38.313;6;1:38.661;4;1:38.796;8;1:38.978;9;1:39.409;3;1:40.672;2;1:42.240;7;1:42.676;5;;0;;0;1:39.968;
98;TechSport;Toyota GR86;Am;Max;Schweid;7;1:36.928;6;1:37.009;4;1:37.059;3;1:37.353;5;1:37.702;2;;0;;0;;0;;0;;0;1:37.210;
111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Isabella;Robusto;9;1:37.365;6;1:37.756;3;1:37.829;7;1:37.964;5;1:38.665;2;1:38.830;8;1:39.329;4;;0;;0;;0;1:38.248;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;9;1:37.581;3;1:37.849;9;1:37.902;7;1:38.311;6;1:38.475;5;1:38.553;2;1:38.840;4;1:39.127;8;;0;;0;1:38.329;
22;Copeland Motorsports;Toyota GR86;Am;Jeremy;Fletcher;9;1:36.875;9;1:37.028;6;1:37.550;8;1:37.652;2;1:37.717;3;1:39.834;7;1:43.158;4;1:46.005;5;;0;;0;1:39.477;
