NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:24.965;0;B;1:09.132;0;1:03.648;0;1:12.185;0;96.1;3:24.965;08:03:24.965;1:09.132;1:03.648;1:12.185;198.5;Karl Forman;0:00:37.051;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;69.132;63.648;72.185;54.335;54.335;14.797;1:09.132;26.804;1:35.936;36.844;2:12.780;31.477;2:44.257;40.708;3:24.965;
03;1;2;5:15.717;0;;3:14.847;0;59.824;0;1:01.046;0;62.4;8:40.682;08:08:40.682;3:14.847;0:59.824;1:01.046;200.7;Karl Forman;0:02:54.948;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;194.847;59.824;61.046;3:01.781;3:01.781;13.066;3:14.847;23.945;3:38.792;35.879;4:14.671;29.604;4:44.275;31.442;5:15.717;
03;1;3;2:34.075;0;;33.642;0;59.582;0;1:00.851;0;127.8;11:14.757;08:11:14.757;0:33.642;0:59.582;1:00.851;204.5;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.642;59.582;60.851;21.017;21.017;12.625;33.642;23.096;56.738;36.486;1:33.224;29.502;2:02.726;31.349;2:34.075;
03;1;4;2:32.083;0;;33.297;0;58.241;0;1:00.545;0;129.5;13:46.840;08:13:46.840;0:33.297;0:58.241;1:00.545;204.5;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.297;58.241;60.545;20.792;20.792;12.505;33.297;22.718;56.015;35.523;1:31.538;29.145;2:00.683;31.400;2:32.083;
03;1;5;2:32.917;0;;33.264;2;59.214;0;1:00.439;0;128.8;16:19.757;08:16:19.757;0:33.264;0:59.214;1:00.439;207.7;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.264;59.214;60.439;20.504;20.504;12.760;33.264;23.083;56.347;36.131;1:32.478;29.030;2:01.508;31.409;2:32.917;
03;1;6;2:32.222;0;;33.273;0;58.484;0;1:00.465;0;129.4;18:51.979;08:18:51.979;0:33.273;0:58.484;1:00.465;203.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.273;58.484;60.465;20.719;20.719;12.554;33.273;22.919;56.192;35.565;1:31.757;29.076;2:00.833;31.389;2:32.222;
03;1;7;2:32.029;0;;33.357;0;58.494;0;1:00.178;0;129.6;21:24.008;08:21:24.008;0:33.357;0:58.494;1:00.178;203.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.357;58.494;60.178;20.735;20.735;12.622;33.357;22.778;56.135;35.716;1:31.851;28.892;2:00.743;31.286;2:32.029;
03;1;8;2:48.450;0;B;33.137;0;58.831;0;1:16.482;0;116.9;24:12.458;08:24:12.458;0:33.137;0:58.831;1:16.482;203.8;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;RF;33.137;58.831;76.482;20.614;20.614;12.523;33.137;23.317;56.454;35.514;1:31.968;29.659;2:01.627;46.823;2:48.450;
03;1;9;4:09.452;0;;2:10.231;0;58.396;0;1:00.825;0;79.0;28:21.910;08:28:21.910;2:10.231;0:58.396;1:00.825;204.5;Karl Forman;0:01:53.307;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;130.231;58.396;60.825;1:57.446;1:57.446;12.785;2:10.231;22.844;2:33.075;35.552;3:08.627;29.653;3:38.280;31.172;4:09.452;
03;1;10;2:31.081;2;;33.445;0;57.740;2;59.896;2;130.4;30:52.991;08:30:52.991;0:33.445;0:57.740;0:59.896;206.9;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;33.445;57.740;59.896;20.910;20.910;12.535;33.445;22.516;55.961;35.224;1:31.185;28.766;1:59.951;31.130;2:31.081;
11;1;1;2:57.639;0;;44.079;0;1:06.651;0;1:06.909;0;110.9;2:57.639;08:02:57.639;0:44.079;1:06.651;1:06.909;169.8;Farran Davis;0:00:09.103;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.079;66.651;66.909;27.676;27.676;16.403;44.079;28.004;1:12.083;38.647;1:50.730;31.672;2:22.402;35.237;2:57.639;
11;1;2;2:39.673;0;B;34.105;0;59.941;0;1:05.627;0;123.4;5:37.312;08:05:37.312;0:34.105;0:59.941;1:05.627;206.9;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;34.105;59.941;65.627;20.976;20.976;13.129;34.105;24.375;58.480;35.566;1:34.046;29.663;2:03.709;35.964;2:39.673;
11;1;3;4:58.065;0;;2:54.094;0;1:02.728;0;1:01.243;0;66.1;10:35.377;08:10:35.377;2:54.094;1:02.728;1:01.243;203.8;Farran Davis;0:02:30.679;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;174.094;62.728;61.243;2:39.829;2:39.829;14.265;2:54.094;26.298;3:20.392;36.430;3:56.822;29.511;4:26.333;31.732;4:58.065;
11;1;4;2:31.990;0;;33.129;0;58.872;0;59.989;0;129.6;13:07.367;08:13:07.367;0:33.129;0:58.872;0:59.989;206.1;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;33.129;58.872;59.989;20.475;20.475;12.654;33.129;23.289;56.418;35.583;1:32.001;29.050;2:01.051;30.939;2:31.990;
11;1;5;2:32.808;0;;32.841;0;59.130;0;1:00.837;0;128.9;15:40.175;08:15:40.175;0:32.841;0:59.130;1:00.837;184.3;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;32.841;59.130;60.837;20.336;20.336;12.505;32.841;23.366;56.207;35.764;1:31.971;29.506;2:01.477;31.331;2:32.808;
11;1;6;2:30.229;2;;32.766;2;57.983;0;59.480;2;131.1;18:10.404;08:18:10.404;0:32.766;0:57.983;0:59.480;211.8;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;32.766;57.983;59.480;20.343;20.343;12.423;32.766;23.051;55.817;34.932;1:30.749;28.617;1:59.366;30.863;2:30.229;
11;1;7;2:35.924;0;B;32.803;0;58.059;0;1:05.062;0;126.3;20:46.328;08:20:46.328;0:32.803;0:58.059;1:05.062;207.7;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;32.803;58.059;65.062;20.368;20.368;12.435;32.803;22.927;55.730;35.132;1:30.862;28.851;1:59.713;36.211;2:35.924;
11;1;8;3:16.140;0;B;1:00.166;0;1:01.290;0;1:14.684;0;100.4;24:02.468;08:24:02.468;1:00.166;1:01.290;1:14.684;160.7;Farran Davis;0:00:37.809;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;RF;60.166;61.290;74.684;46.830;46.830;13.336;1:00.166;23.825;1:23.991;37.465;2:01.456;32.230;2:33.686;42.454;3:16.140;
11;1;9;3:42.099;0;;1:42.413;0;59.287;0;1:00.399;0;88.7;27:44.567;08:27:44.567;1:42.413;0:59.287;1:00.399;203.8;Farran Davis;0:01:22.442;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;102.413;59.287;60.399;1:29.423;1:29.423;12.990;1:42.413;23.623;2:06.036;35.664;2:41.700;29.084;3:10.784;31.315;3:42.099;
11;1;10;2:30.864;0;;33.025;0;57.797;2;1:00.042;0;130.6;30:15.431;08:30:15.431;0:33.025;0:57.797;1:00.042;208.5;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;33.025;57.797;60.042;20.532;20.532;12.493;33.025;22.758;55.783;35.039;1:30.822;29.316;2:00.138;30.726;2:30.864;
113;1;1;3:46.741;0;;1:43.257;0;1:02.537;0;1:00.947;0;86.9;3:46.741;08:03:46.741;1:43.257;1:02.537;1:00.947;197.1;Ethan Tovo;0:01:11.270;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;103.257;62.537;60.947;1:27.787;1:27.787;15.470;1:43.257;25.540;2:08.797;36.997;2:45.794;29.641;3:15.435;31.306;3:46.741;
113;1;2;2:29.753;0;;33.043;0;57.651;0;59.059;2;131.5;6:16.494;08:06:16.494;0:33.043;0:57.651;0:59.059;207.7;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;33.043;57.651;59.059;20.616;20.616;12.427;33.043;22.511;55.554;35.140;1:30.694;28.356;1:59.050;30.703;2:29.753;
113;1;3;2:31.725;0;;33.586;0;58.010;0;1:00.129;0;129.8;8:48.219;08:08:48.219;0:33.586;0:58.010;1:00.129;206.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;33.586;58.010;60.129;20.841;20.841;12.745;33.586;22.711;56.297;35.299;1:31.596;28.363;1:59.959;31.766;2:31.725;
113;1;4;2:29.683;0;;33.193;0;57.354;0;59.136;0;131.6;11:17.902;08:11:17.902;0:33.193;0:57.354;0:59.136;206.9;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;33.193;57.354;59.136;20.523;20.523;12.670;33.193;22.266;55.459;35.088;1:30.547;28.283;1:58.830;30.853;2:29.683;
113;1;5;2:37.265;0;B;32.641;0;57.879;0;1:06.745;0;125.3;13:55.167;08:13:55.167;0:32.641;0:57.879;1:06.745;203.0;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;32.641;57.879;66.745;20.225;20.225;12.416;32.641;22.653;55.294;35.226;1:30.520;29.280;1:59.800;37.465;2:37.265;
113;1;6;2:54.943;0;;57.010;0;58.008;0;59.925;0;112.6;16:50.110;08:16:50.110;0:57.010;0:58.008;0:59.925;205.3;Ethan Tovo;0:00:37.523;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;57.010;58.008;59.925;44.418;44.418;12.592;57.010;22.527;1:19.537;35.481;1:55.018;28.872;2:23.890;31.053;2:54.943;
113;1;7;2:30.051;0;;32.710;0;57.749;0;59.592;0;131.3;19:20.161;08:19:20.161;0:32.710;0:57.749;0:59.592;203.8;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;32.710;57.749;59.592;20.326;20.326;12.384;32.710;22.302;55.012;35.447;1:30.459;28.609;1:59.068;30.983;2:30.051;
113;1;8;2:29.987;0;;32.704;0;57.603;0;59.680;0;131.3;21:50.148;08:21:50.148;0:32.704;0:57.603;0:59.680;206.9;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;32.704;57.603;59.680;20.360;20.360;12.344;32.704;22.488;55.192;35.115;1:30.307;28.339;1:58.646;31.341;2:29.987;
113;1;9;2:38.638;0;B;32.730;0;58.213;0;1:07.695;0;124.2;24:28.786;08:24:28.786;0:32.730;0:58.213;1:07.695;204.5;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;RF;32.730;58.213;67.695;20.363;20.363;12.367;32.730;22.524;55.254;35.689;1:30.943;28.494;1:59.437;39.201;2:38.638;
113;1;10;3:53.400;0;;1:56.840;0;57.136;0;59.424;0;84.4;28:22.186;08:28:22.186;1:56.840;0:57.136;0:59.424;208.5;Ethan Tovo;0:01:39.172;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;116.840;57.136;59.424;1:44.421;1:44.421;12.419;1:56.840;22.049;2:18.889;35.087;2:53.976;28.311;3:22.287;31.113;3:53.400;
113;1;11;2:29.403;2;;32.564;2;57.049;2;59.790;0;131.8;30:51.589;08:30:51.589;0:32.564;0:57.049;0:59.790;209.3;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;FF;32.564;57.049;59.790;20.217;20.217;12.347;32.564;22.094;54.658;34.955;1:29.613;28.682;1:58.295;31.108;2:29.403;
13;1;1;2:47.610;0;;42.775;0;1:02.504;0;1:02.331;0;117.5;2:47.610;08:02:47.610;0:42.775;1:02.504;1:02.331;199.3;Westin Workman;0:00:11.063;Am;;BSI Racing;Toyota Gazoo Racing;GF;42.775;62.504;62.331;28.181;28.181;14.594;42.775;25.878;1:08.653;36.626;1:45.279;30.389;2:15.668;31.942;2:47.610;
13;1;2;2:28.340;0;;32.550;0;57.253;0;58.537;0;132.8;5:15.950;08:05:15.950;0:32.550;0:57.253;0:58.537;203.8;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;32.550;57.253;58.537;20.263;20.263;12.287;32.550;22.245;54.795;35.008;1:29.803;28.095;1:57.898;30.442;2:28.340;
13;1;3;2:27.920;0;;32.279;2;57.221;0;58.420;0;133.2;7:43.870;08:07:43.870;0:32.279;0:57.221;0:58.420;203.0;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;32.279;57.221;58.420;20.033;20.033;12.246;32.279;22.114;54.393;35.107;1:29.500;28.145;1:57.645;30.275;2:27.920;
13;1;4;2:27.559;0;;32.474;0;56.776;0;58.309;3;133.5;10:11.429;08:10:11.429;0:32.474;0:56.776;0:58.309;203.0;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;32.474;56.776;58.309;20.186;20.186;12.288;32.474;21.899;54.373;34.877;1:29.250;28.072;1:57.322;30.237;2:27.559;
13;1;5;2:31.331;0;;32.454;0;59.601;0;59.276;0;130.2;12:42.760;08:12:42.760;0:32.454;0:59.601;0:59.276;197.8;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;32.454;59.601;59.276;20.086;20.086;12.368;32.454;21.984;54.438;37.617;1:32.055;28.582;2:00.637;30.694;2:31.331;
13;1;6;2:27.441;2;;32.418;0;56.633;0;58.390;0;133.6;15:10.201;08:15:10.201;0:32.418;0:56.633;0:58.390;206.1;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;32.418;56.633;58.390;20.146;20.146;12.272;32.418;21.860;54.278;34.773;1:29.051;28.121;1:57.172;30.269;2:27.441;
13;1;7;2:46.550;0;B;35.958;0;59.464;0;1:11.128;0;118.3;17:56.751;08:17:56.751;0:35.958;0:59.464;1:11.128;201.5;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;35.958;59.464;71.128;23.152;23.152;12.806;35.958;23.184;59.142;36.280;1:35.422;29.612;2:05.034;41.516;2:46.550;
13;1;8;2:58.993;0;;1:00.113;0;59.194;0;59.686;0;110.1;20:55.744;08:20:55.744;1:00.113;0:59.194;0:59.686;203.0;Westin Workman;0:00:37.530;Am;;BSI Racing;Toyota Gazoo Racing;GF;60.113;59.194;59.686;46.845;46.845;13.268;1:00.113;23.652;1:23.765;35.542;1:59.307;28.974;2:28.281;30.712;2:58.993;
13;1;9;2:46.246;0;B;32.372;0;58.632;0;1:15.242;0;118.5;23:41.990;08:23:41.990;0:32.372;0:58.632;1:15.242;164.6;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;RF;32.372;58.632;75.242;20.071;20.071;12.301;32.372;21.916;54.288;36.716;1:31.004;33.070;2:04.074;42.172;2:46.246;
13;1;10;4:17.964;0;;2:13.739;0;59.548;0;1:04.677;0;76.4;27:59.954;08:27:59.954;2:13.739;0:59.548;1:04.677;203.0;Westin Workman;0:01:54.050;Am;;BSI Racing;Toyota Gazoo Racing;GF;133.739;59.548;64.677;2:00.910;2:00.910;12.829;2:13.739;23.250;2:36.989;36.298;3:13.287;29.675;3:42.962;35.002;4:17.964;
13;1;11;2:27.188;0;;32.347;0;56.283;3;58.558;0;133.8;30:27.142;08:30:27.142;0:32.347;0:56.283;0:58.558;207.7;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;FF;32.347;56.283;58.558;20.067;20.067;12.280;32.347;21.694;54.041;34.589;1:28.630;28.281;1:56.911;30.277;2:27.188;
14;1;1;4:00.193;0;;1:56.250;0;1:02.349;0;1:01.594;0;82.0;4:00.193;08:04:00.193;1:56.250;1:02.349;1:01.594;197.8;Alex Garcia;0:01:24.851;Am;;Skip Barber Racing;Toyota Gazoo Racing;GF;116.250;62.349;61.594;1:42.128;1:42.128;14.122;1:56.250;25.714;2:21.964;36.635;2:58.599;29.918;3:28.517;31.676;4:00.193;
14;1;2;2:29.509;2;;32.897;0;57.279;2;59.333;2;131.8;6:29.702;08:06:29.702;0:32.897;0:57.279;0:59.333;205.3;Alex Garcia;;Am;;Skip Barber Racing;Toyota Gazoo Racing;GF;32.897;57.279;59.333;20.515;20.515;12.382;32.897;22.185;55.082;35.094;1:30.176;28.659;1:58.835;30.674;2:29.509;
14;1;3;2:29.942;0;;32.968;0;57.423;0;59.551;0;131.4;8:59.644;08:08:59.644;0:32.968;0:57.423;0:59.551;206.1;Alex Garcia;;Am;;Skip Barber Racing;Toyota Gazoo Racing;GF;32.968;57.423;59.551;20.504;20.504;12.464;32.968;22.219;55.187;35.204;1:30.391;28.724;1:59.115;30.827;2:29.942;
14;1;4;2:30.114;0;;32.639;2;57.603;0;59.872;0;131.2;11:29.758;08:11:29.758;0:32.639;0:57.603;0:59.872;205.3;Alex Garcia;;Am;;Skip Barber Racing;Toyota Gazoo Racing;GF;32.639;57.603;59.872;20.375;20.375;12.264;32.639;22.351;54.990;35.252;1:30.242;29.035;1:59.277;30.837;2:30.114;
14;1;5;2:30.704;0;;32.743;0;57.937;0;1:00.024;0;130.7;14:00.462;08:14:00.462;0:32.743;0:57.937;1:00.024;205.3;Alex Garcia;;Am;;Skip Barber Racing;Toyota Gazoo Racing;GF;32.743;57.937;60.024;20.377;20.377;12.366;32.743;22.469;55.212;35.468;1:30.680;28.975;1:59.655;31.049;2:30.704;
14;1;6;2:34.849;0;B;33.111;0;57.852;0;1:03.886;0;127.2;16:35.311;08:16:35.311;0:33.111;0:57.852;1:03.886;205.3;Alex Garcia;;Am;;Skip Barber Racing;Toyota Gazoo Racing;GF;33.111;57.852;63.886;20.668;20.668;12.443;33.111;22.412;55.523;35.440;1:30.963;29.359;2:00.322;34.527;2:34.849;
14;1;7;5:11.954;0;B;3:06.782;0;59.677;0;1:05.495;0;63.1;21:47.265;08:21:47.265;3:06.782;0:59.677;1:05.495;169.8;Alex Garcia;0:02:46.815;Am;;Skip Barber Racing;Toyota Gazoo Racing;GF;186.782;59.677;65.495;2:54.081;2:54.081;12.701;3:06.782;22.572;3:29.354;37.105;4:06.459;29.918;4:36.377;35.577;5:11.954;
15;1;1;7:46.111;0;;5:45.239;0;1:00.993;0;59.879;0;42.3;7:46.111;08:07:46.111;5:45.239;1:00.993;0:59.879;206.9;Brett Kowalski;0:05:15.927;Am;;TechSport;Toyota Gazoo Racing;GF;345.239;60.993;59.879;5:31.926;5:31.926;13.313;5:45.239;24.055;6:09.294;36.938;6:46.232;29.298;7:15.530;30.581;7:46.111;
15;1;2;2:29.062;0;;32.827;0;57.303;0;58.932;2;132.1;10:15.173;08:10:15.173;0:32.827;0:57.303;0:58.932;209.3;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;32.827;57.303;58.932;20.572;20.572;12.255;32.827;22.586;55.413;34.717;1:30.130;28.468;1:58.598;30.464;2:29.062;
15;1;3;2:28.250;2;;32.292;0;56.813;2;59.145;0;132.9;12:43.423;08:12:43.423;0:32.292;0:56.813;0:59.145;210.1;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;32.292;56.813;59.145;20.068;20.068;12.224;32.292;22.189;54.481;34.624;1:29.105;28.442;1:57.547;30.703;2:28.250;
15;1;4;2:28.931;0;;32.203;2;56.983;0;59.745;0;132.3;15:12.354;08:15:12.354;0:32.203;0:56.983;0:59.745;210.9;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;32.203;56.983;59.745;19.997;19.997;12.206;32.203;22.345;54.548;34.638;1:29.186;28.929;1:58.115;30.816;2:28.931;
15;1;5;2:28.895;0;;32.679;0;56.912;0;59.304;0;132.3;17:41.249;08:17:41.249;0:32.679;0:56.912;0:59.304;208.5;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;32.679;56.912;59.304;20.386;20.386;12.293;32.679;22.106;54.785;34.806;1:29.591;28.482;1:58.073;30.822;2:28.895;
15;1;6;2:36.544;0;B;33.527;0;57.912;0;1:05.105;0;125.8;20:17.793;08:20:17.793;0:33.527;0:57.912;1:05.105;208.5;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;33.527;57.912;65.105;21.059;21.059;12.468;33.527;22.907;56.434;35.005;1:31.439;29.170;2:00.609;35.935;2:36.544;
15;1;7;4:48.823;0;B;;0;;0;;0;68.2;25:06.616;08:25:06.616;;;;;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;;;;;;;;;;;;;;;4:48.823;
15;1;8;2:58.450;0;;59.839;0;58.081;0;1:00.530;0;110.4;28:05.066;08:28:05.066;0:59.839;0:58.081;1:00.530;202.2;Brett Kowalski;0:05:29.217;Am;;TechSport;Toyota Gazoo Racing;GF;59.839;58.081;60.530;47.453;47.453;12.386;59.839;22.608;1:22.447;35.473;1:57.920;29.178;2:27.098;31.352;2:58.450;
15;1;9;2:29.592;0;;32.633;0;57.374;0;59.585;0;131.7;30:34.658;08:30:34.658;0:32.633;0:57.374;0:59.585;207.7;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;FF;32.633;57.374;59.585;20.315;20.315;12.318;32.633;22.340;54.973;35.034;1:30.007;28.583;1:58.590;31.002;2:29.592;
16;1;1;3:46.142;0;;1:43.012;0;1:02.309;0;1:00.821;0;87.1;3:46.142;08:03:46.142;1:43.012;1:02.309;1:00.821;195.7;John Dean;0:01:10.596;Am;Legends;Copeland Motorsports;Toyota Gazoo Racing;GF;103.012;62.309;60.821;1:27.535;1:27.535;15.477;1:43.012;25.484;2:08.496;36.825;2:45.321;29.676;3:14.997;31.145;3:46.142;
16;1;2;2:28.973;0;;32.939;0;57.110;0;58.924;0;132.2;6:15.115;08:06:15.115;0:32.939;0:57.110;0:58.924;207.7;John Dean;;Am;Legends;Copeland Motorsports;Toyota Gazoo Racing;GF;32.939;57.110;58.924;20.593;20.593;12.346;32.939;22.286;55.225;34.824;1:30.049;28.364;1:58.413;30.560;2:28.973;
16;1;3;2:27.974;0;;32.326;0;56.729;0;58.919;0;133.1;8:43.089;08:08:43.089;0:32.326;0:56.729;0:58.919;210.1;John Dean;;Am;Legends;Copeland Motorsports;Toyota Gazoo Racing;GF;32.326;56.729;58.919;20.065;20.065;12.261;32.326;21.902;54.228;34.827;1:29.055;28.287;1:57.342;30.632;2:27.974;
