CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;71;TechSport;Toyota GR86;Christian Weir;12;12;2:04.818;;;110.7;
Am;2;2;47;TechSport;Toyota GR86;Ayden Kirk;12;11;2:05.380;+0.562;+0.562;110.2;
Am;3;3;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;11;11;2:05.412;+0.594;+0.032;110.2;
Am;4;4;72;TechSport;Toyota GR86;Ethan Goulart;12;11;2:05.980;+1.162;+0.568;109.7;
Am;5;5;98;TechSport;Toyota GR86;Max Schweid;12;11;2:06.286;+1.468;+0.306;109.4;
Am;6;6;13;BSI Racing;Toyota GR86;Westin Workman;11;11;2:06.767;+1.949;+0.481;109.0;
Am;7;7;14;Skip Barber Racing;Toyota GR86;Alex Garcia;10;10;2:07.191;+2.373;+0.424;108.6;
Am;8;8;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;12;11;2:07.350;+2.532;+0.159;108.5;
Am;9;9;73;Precision Racing LA;Toyota GR86;Mike Lamarra;12;12;2:07.398;+2.580;+0.048;108.5;
Am;10;10;15;TechSport;Toyota GR86;Brett Kowalski;11;11;2:07.790;+2.972;+0.392;108.1;
Am;11;11;67;BSI Racing;Toyota GR86;Shea Holbrook;9;9;2:07.991;+3.173;+0.201;108.0;
Am;12;12;03;Precision Racing LA;Toyota GR86;Karl Forman;12;12;2:08.748;+3.930;+0.757;107.3;
Am;13;13;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;11;10;2:08.803;+3.985;+0.055;107.3;
Am;14;14;17;van der Steur Racing;Toyota GR86;Miles Hewitt;12;11;2:09.566;+4.748;+0.763;106.6;
Am;15;15;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;11;10;2:10.002;+5.184;+0.436;106.3;
Am;16;16;3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jason Kos;12;11;2:10.364;+5.546;+0.362;106.0;
Am;17;17;51;BSI Racing;Toyota GR86;Massimo Sunseri;11;11;2:11.653;+6.835;+1.289;105.0;
Am;18;18;50;Mashore Autobody;Toyota GR86;Casey Mashore;6;6;2:12.172;+7.354;+0.519;104.5;
Am;19;19;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;11;9;2:12.502;+7.684;+0.330;104.3;
Am;20;20;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;0;0;;;;;
Am;21;21;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;0;0;;;;;
Am;22;22;12;Copeland Motorsports;Toyota GR86;John Lennon;0;0;;;;;
Am;23;23;16;Copeland Motorsports;Toyota GR86;John Dean;0;0;;;;;
Am;24;24;21;Copeland Motorsports;Toyota GR86;Ford Koch;0;0;;;;;
Am;25;25;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;0;0;;;;;
Am;26;26;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;0;0;;;;;
Am;27;27;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;0;0;;;;;
Am;28;28;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;0;0;;;;;
Am;29;29;88;PT Autosport with Copeland Motorsports;Toyota GR86;Zach Hollingshead;0;0;;;;;
Am;30;30;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;3;0;;;;;
Am;31;31;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;0;0;;;;;
