NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;14;1:56.776;13;1:57.257;11;1:57.291;4;1:57.681;3;1:59.454;5;1:59.808;7;2:00.124;10;2:00.364;6;2:01.340;2;2:01.946;12;1:59.204;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;16;1:53.159;9;1:53.174;3;1:53.480;6;1:53.486;4;1:53.590;10;1:53.604;5;1:53.663;8;1:53.801;2;1:54.059;12;1:54.269;14;1:53.628;
17;van der Steur Racing;Toyota GR86;Am;Miles;Hewitt;15;1:54.891;13;1:54.906;12;1:54.919;10;1:55.007;9;1:55.034;11;1:55.142;7;1:55.541;8;1:55.599;15;1:55.643;5;1:55.880;4;1:55.256;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;13;1:54.866;6;1:54.900;7;1:55.065;12;1:55.238;13;1:55.572;11;1:55.765;3;1:56.118;5;1:56.684;2;1:57.515;4;1:58.942;8;1:56.066;
50;Mashore Autobody;Toyota GR86;Am;Casey;Mashore;14;1:53.741;8;1:53.742;11;1:53.843;4;1:54.026;2;1:54.383;3;1:54.491;5;1:54.822;9;1:55.318;10;1:55.705;12;1:58.041;13;1:54.811;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti*;15;1:53.644;10;1:53.969;9;1:54.100;11;1:54.104;12;1:54.214;13;1:54.731;6;1:54.837;4;1:55.237;5;1:55.550;3;1:55.942;2;1:54.632;
16;Copeland Motorsports;Toyota GR86;Am;John;Dean*;15;1:52.797;14;1:52.805;8;1:52.852;11;1:52.977;5;1:52.978;12;1:53.023;7;1:53.615;13;1:53.938;3;1:55.193;2;1:56.554;6;1:53.673;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;15;1:55.352;13;1:55.600;10;1:55.632;15;1:55.824;12;1:56.328;9;1:56.461;14;1:56.488;11;1:56.516;7;1:57.839;5;1:58.264;8;1:56.430;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;15;1:54.247;7;1:54.449;10;1:54.734;15;1:55.055;14;1:55.331;6;1:55.372;13;1:55.598;12;1:56.117;3;1:56.358;2;1:56.804;4;1:55.406;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis*;16;1:54.265;16;1:54.716;14;1:54.982;11;1:55.680;10;1:55.720;7;1:55.788;6;1:55.864;12;1:55.865;8;1:56.245;15;1:56.375;5;1:55.550;
