CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;6;5;2:06.187;;;150.1;
Am;2;2;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;6;5;2:06.420;+0.233;+0.233;149.9;
Am;3;3;98;TechSport;Toyota GR86;Max Schweid;5;4;2:06.442;+0.255;+0.022;149.8;
Am;4;4;72;TechSport;Toyota GR86;Ethan Goulart;6;5;2:06.473;+0.286;+0.031;149.8;
Am;5;5;13;BSI Racing;Toyota GR86;Westin Workman;6;6;2:06.477;+0.290;+0.004;149.8;
Am;6;6;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;6;6;2:06.596;+0.409;+0.119;149.7;
Am;7;7;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;7;2;2:06.692;+0.505;+0.096;149.5;
Am;8;8;71;TechSport;Toyota GR86;Christian Weir;7;6;2:06.856;+0.669;+0.164;149.3;
Am;9;9;21;Copeland Motorsports;Toyota GR86;Ford Koch;7;4;2:07.112;+0.925;+0.256;149.0;
Am;10;10;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;6;4;2:07.245;+1.058;+0.133;148.9;
Am;11;11;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;7;6;2:07.371;+1.184;+0.126;148.7;
Am;12;12;15;TechSport;Toyota GR86;Brett Kowalski;4;3;2:07.505;+1.318;+0.134;148.6;
Am;13;13;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;6;3;2:07.540;+1.353;+0.035;148.5;
Am;14;14;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;7;6;2:07.662;+1.475;+0.122;148.4;
Am;15;15;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;6;4;2:07.759;+1.572;+0.097;148.3;
Am;16;16;51;BSI Racing;Toyota GR86;Massimo Sunseri;6;4;2:07.887;+1.700;+0.128;148.1;
Am;17;17;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;7;6;2:07.890;+1.703;+0.003;148.1;
Am;18;18;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;5;3;2:08.195;+2.008;+0.305;147.8;
Am;19;19;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;6;3;2:08.504;+2.317;+0.309;147.4;
Am;20;20;03;Precision Racing LA;Toyota GR86;Karl Forman;6;4;2:08.595;+2.408;+0.091;147.3;
Am;21;21;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;7;4;2:08.626;+2.439;+0.031;147.3;
Am;22;22;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;7;5;2:08.942;+2.755;+0.316;146.9;
Am;23;23;61;Skip Barber Racing;Toyota GR86;James Klimas;7;4;2:10.205;+4.018;+1.263;145.5;
Am;24;24;12;BSI Racing;Toyota GR86;John Lennon;7;7;2:13.180;+6.993;+2.975;142.3;
Am;25;25;16;Copeland Motorsports;Toyota GR86;John Dean;0;0;;;;;
