NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;6;2:06.593;4;2:07.214;3;2:14.818;6;2:18.238;5;2:40.833;2;;0;;0;;0;;0;;0;2:17.539;
12;BSI Racing;Toyota GR86;Am;John;Lennon;8;2:19.211;8;2:19.445;7;2:20.578;6;2:21.305;4;2:21.982;3;2:22.083;5;2:30.071;2;;0;;0;;0;2:22.096;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;7;2:07.179;3;2:07.325;4;2:07.367;6;2:10.293;5;2:13.673;2;2:20.321;7;;0;;0;;0;;0;2:11.026;
98;TechSport;Toyota GR86;Am;Max;Schweid;8;2:08.161;7;2:08.552;4;2:10.957;8;2:11.238;3;2:13.398;6;2:19.162;2;3:12.556;5;;0;;0;;0;2:20.574;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;8;2:08.554;6;2:08.648;8;2:08.659;5;2:08.812;7;2:08.895;4;2:09.152;3;2:19.699;2;;0;;0;;0;2:10.345;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;8;2:07.098;5;2:07.338;3;2:07.339;6;2:07.405;8;2:09.962;7;2:10.171;4;2:14.406;2;;0;;0;;0;2:09.102;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;6;2:08.003;6;2:08.066;5;2:08.427;3;2:08.543;4;2:13.679;2;;0;;0;;0;;0;;0;2:09.343;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;8;2:08.969;4;2:09.059;6;2:09.565;3;2:09.627;8;2:09.814;7;2:10.368;5;2:20.141;2;;0;;0;;0;2:11.077;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;8;2:09.893;7;2:09.968;6;2:10.307;5;2:11.349;4;2:12.565;8;2:15.521;3;3:19.943;2;;0;;0;;0;2:21.363;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;8;2:09.376;6;2:09.651;7;2:09.746;5;2:10.891;4;2:10.998;8;2:13.625;3;2:20.811;2;;0;;0;;0;2:12.156;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Max;Stallone;8;2:09.057;7;2:09.266;6;2:09.532;5;2:09.621;4;2:10.422;8;2:11.330;3;2:24.551;2;;0;;0;;0;2:11.968;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;8;2:08.318;4;2:08.660;8;2:09.310;3;2:09.317;6;2:09.403;5;2:09.419;7;2:18.939;2;;0;;0;;0;2:10.480;
61;Skip Barber Racing;Toyota GR86;Am;James;Klimas;8;2:12.529;7;2:13.047;8;2:13.544;6;2:14.338;3;2:18.325;4;2:19.248;5;2:24.629;2;;0;;0;;0;2:16.522;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;7;2:10.968;7;2:11.505;5;2:12.504;6;2:16.803;2;2:17.166;4;5:15.573;3;;0;;0;;0;;0;2:44.086;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;8;2:08.399;6;2:08.612;7;2:08.962;5;2:09.002;8;2:09.563;4;2:09.704;3;2:38.012;2;;0;;0;;0;2:13.179;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;8;2:09.629;5;2:09.765;7;2:10.044;8;2:10.967;6;2:11.682;3;2:13.898;4;2:22.190;2;;0;;0;;0;2:12.596;
71;TechSport;Toyota GR86;Am;Christian;Weir;7;2:08.621;5;2:08.639;6;2:08.796;4;2:09.529;7;2:11.518;3;2:29.344;2;;0;;0;;0;;0;2:12.741;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;8;2:07.509;7;2:07.593;4;2:07.625;5;2:08.046;3;2:09.000;8;2:11.202;6;2:14.053;2;;0;;0;;0;2:09.289;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;8;2:08.754;4;2:09.067;6;2:09.094;7;2:09.857;5;2:10.329;3;2:11.217;8;2:21.646;2;;0;;0;;0;2:11.423;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;8;2:09.308;7;2:09.479;6;2:09.732;4;2:09.994;5;2:10.612;8;2:10.847;3;2:21.847;2;;0;;0;;0;2:11.688;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;8;2:07.085;5;2:07.102;6;2:07.377;8;2:08.012;4;2:14.321;7;2:16.286;3;2:18.594;2;;0;;0;;0;2:11.253;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;7;2:09.349;5;2:09.685;6;2:11.200;7;2:11.807;3;2:13.150;4;2:20.879;2;;0;;0;;0;;0;2:12.678;
