CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;72;TechSport;Toyota GR86;Ethan Goulart;6;4;2:06.593;;;149.7;
Am;2;2;13;BSI Racing;Toyota GR86;Westin Workman;8;5;2:07.085;+0.492;+0.492;149.1;
Am;3;3;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;8;5;2:07.098;+0.505;+0.013;149.1;
Am;4;4;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;7;3;2:07.179;+0.586;+0.081;149.0;
Am;5;5;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;8;7;2:07.509;+0.916;+0.330;148.6;
Am;6;6;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;6;6;2:08.003;+1.410;+0.494;148.0;
Am;7;7;98;TechSport;Toyota GR86;Max Schweid;8;7;2:08.161;+1.568;+0.158;147.8;
Am;8;8;15;TechSport;Toyota GR86;Brett Kowalski;8;4;2:08.318;+1.725;+0.157;147.6;
Am;9;9;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;8;6;2:08.399;+1.806;+0.081;147.5;
Am;10;10;21;Copeland Motorsports;Toyota GR86;Ford Koch;8;6;2:08.554;+1.961;+0.155;147.4;
Am;11;11;71;TechSport;Toyota GR86;Christian Weir;7;5;2:08.621;+2.028;+0.067;147.3;
Am;12;12;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;8;4;2:08.754;+2.161;+0.133;147.1;
Am;13;13;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;8;4;2:08.969;+2.376;+0.215;146.9;
Am;14;14;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;8;7;2:09.057;+2.464;+0.088;146.8;
Am;15;15;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;8;7;2:09.308;+2.715;+0.251;146.5;
Am;16;16;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;7;5;2:09.349;+2.756;+0.041;146.5;
Am;17;17;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;8;6;2:09.376;+2.783;+0.027;146.4;
Am;18;18;03;Precision Racing LA;Toyota GR86;Karl Forman;8;5;2:09.629;+3.036;+0.253;146.1;
Am;19;19;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;8;7;2:09.893;+3.300;+0.264;145.9;
Am;20;20;51;BSI Racing;Toyota GR86;Massimo Sunseri;7;7;2:10.968;+4.375;+1.075;144.7;
Am;21;21;61;Skip Barber Racing;Toyota GR86;James Klimas;8;7;2:12.529;+5.936;+1.561;143.0;
Am;22;22;12;BSI Racing;Toyota GR86;John Lennon;8;8;2:19.211;+12.618;+6.682;136.1;
Am;23;23;16;Copeland Motorsports;Toyota GR86;John Dean;0;0;;;;;
Am;24;24;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;0;0;;;;;
Am;25;25;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;0;0;;;;;
