NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;6;2:24.690;4;2:25.635;3;2:25.867;6;2:26.692;2;2:32.101;5;;0;;0;;0;;0;;0;2:26.997;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;6;2:26.921;6;2:26.944;3;2:27.235;5;2:27.398;4;2:27.571;2;;0;;0;;0;;0;;0;2:27.213;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;6;2:26.520;6;2:27.306;2;2:27.392;3;2:27.868;5;2:28.821;4;;0;;0;;0;;0;;0;2:27.581;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;6;2:24.137;3;2:24.579;2;2:24.674;5;2:29.054;6;2:39.481;4;;0;;0;;0;;0;;0;2:28.385;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;6;2:27.065;4;2:27.508;3;2:30.119;2;2:36.772;5;;0;;0;;0;;0;;0;;0;2:30.366;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;5;2:24.104;2;2:24.403;4;2:24.908;3;;0;;0;;0;;0;;0;;0;;0;2:24.471;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;6;2:25.309;4;2:26.367;3;2:26.443;6;2:27.503;2;2:27.530;5;;0;;0;;0;;0;;0;2:26.630;
16;Copeland Motorsports;Toyota GR86;Am;John;Dean;6;2:24.173;6;2:24.327;2;2:24.430;3;2:34.570;4;2:36.187;5;;0;;0;;0;;0;;0;2:28.737;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;6;2:25.846;6;2:26.228;4;2:26.428;5;2:26.695;2;2:30.852;3;;0;;0;;0;;0;;0;2:27.209;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;6;2:25.817;6;2:26.195;4;2:27.305;3;2:32.261;5;2:33.487;2;;0;;0;;0;;0;;0;2:29.013;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;6;2:26.284;4;2:26.459;2;2:26.820;3;2:27.553;5;2:28.854;6;;0;;0;;0;;0;;0;2:27.194;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;6;2:24.219;4;2:24.247;2;2:24.871;5;2:26.109;3;;0;;0;;0;;0;;0;;0;2:24.861;
47;TechSport;Toyota GR86;Am;Ayden;Kirk;6;2:26.169;6;2:26.193;4;2:26.317;5;2:26.392;2;2:26.604;3;;0;;0;;0;;0;;0;2:26.335;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;6;2:27.857;4;2:28.260;2;2:28.417;3;2:28.541;5;2:28.637;6;;0;;0;;0;;0;;0;2:28.342;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;7;2:24.773;2;2:25.216;4;2:25.360;7;2:25.916;6;2:26.007;5;2:28.437;3;;0;;0;;0;;0;2:25.951;
71;TechSport;Toyota GR86;Am;Christian;Weir;6;2:25.871;4;2:26.054;3;2:26.102;5;2:27.160;2;2:27.180;6;;0;;0;;0;;0;;0;2:26.473;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;7;2:24.708;2;2:24.822;4;2:24.925;7;2:25.455;5;2:25.560;6;2:25.668;3;;0;;0;;0;;0;2:25.189;
78;Nitro Motorsports;Toyota GR86;Am;Ethan;Ayars;6;2:25.033;6;2:25.376;5;2:25.764;3;2:25.814;2;2:26.222;4;;0;;0;;0;;0;;0;2:25.641;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;6;2:27.489;4;2:27.495;5;2:27.571;6;2:27.655;3;;0;;0;;0;;0;;0;;0;2:27.552;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Zach;Hollingshead;6;2:25.763;3;2:25.829;6;2:26.339;2;2:28.033;4;2:31.085;5;;0;;0;;0;;0;;0;2:27.409;
98;TechSport;Toyota GR86;Am;Max;Schweid;6;2:25.374;5;2:25.598;6;2:25.686;3;2:25.843;4;2:26.155;2;;0;;0;;0;;0;;0;2:25.731;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;6;2:25.391;6;2:25.517;5;2:25.657;4;2:25.998;2;2:26.059;3;;0;;0;;0;;0;;0;2:25.724;
