CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;13;BSI Racing;Toyota GR86;Westin Workman;9;8;1:38.063;;;135.9;
Am;2;2;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;17;15;1:38.099;+0.036;+0.036;135.8;
Am;3;3;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;15;2;1:38.137;+0.074;+0.038;135.8;
Am;4;4;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;10;5;1:38.219;+0.156;+0.082;135.7;
Am;5;5;98;TechSport;Toyota GR86;Max Schweid;17;17;1:38.294;+0.231;+0.075;135.6;
Am;6;6;47;TechSport;Toyota GR86;Parker DeLong;17;12;1:38.307;+0.244;+0.013;135.5;
Am;7;7;72;TechSport;Toyota GR86;Ethan Goulart;16;14;1:38.424;+0.361;+0.117;135.4;
Am;8;8;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;15;14;1:38.633;+0.570;+0.209;135.1;
Am;9;9;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;16;4;1:38.876;+0.813;+0.243;134.8;
Am;10;10;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;14;13;1:38.929;+0.866;+0.053;134.7;
Am;11;11;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;18;13;1:39.169;+1.106;+0.240;134.4;
Am;12;12;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;17;8;1:39.248;+1.185;+0.079;134.3;
Am;13;13;03;Precision Racing LA;Toyota GR86;Karl Forman;17;5;1:39.326;+1.263;+0.078;134.2;
Am;14;14;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;15;2;1:39.378;+1.315;+0.052;134.1;
Am;15;15;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;17;15;1:39.419;+1.356;+0.041;134.0;
Am;16;16;21;Copeland Motorsports;Toyota GR86;Ford Koch;16;14;1:39.479;+1.416;+0.060;134.0;
Am;17;17;51;BSI Racing;Toyota GR86;Massimo Sunseri;18;15;1:39.591;+1.528;+0.112;133.8;
Am;18;18;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;18;5;1:39.961;+1.898;+0.370;133.3;
Am;19;19;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;17;15;1:40.118;+2.055;+0.157;133.1;
Am;20;20;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;18;12;1:40.167;+2.104;+0.049;133.0;
Am;21;21;58;Copeland Motorsports;Toyota GR86;Liam Harrison;17;15;1:40.703;+2.640;+0.536;132.3;
Am;22;22;18;Precision Racing LA;Toyota GR86;Rutledge Wood;17;12;1:42.491;+4.428;+1.788;130.0;
