NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;10;1:38.219;5;1:38.223;3;1:38.381;2;1:38.773;7;1:38.825;4;1:41.852;8;1:41.862;9;1:43.638;6;;0;;0;1:39.971;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;17;1:39.326;5;1:39.637;15;1:39.638;7;1:39.684;6;1:39.801;3;1:39.819;17;1:39.963;2;1:40.058;9;1:40.102;13;1:40.152;12;1:39.818;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;18;1:39.961;5;1:40.024;9;1:40.029;13;1:40.162;15;1:40.194;8;1:40.241;4;1:40.265;18;1:40.317;12;1:40.328;10;1:40.398;7;1:40.191;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;14;1:38.929;13;1:39.044;2;1:39.175;3;1:39.288;12;1:39.369;9;1:39.412;4;1:39.613;5;1:39.827;10;1:40.434;6;1:40.793;11;1:39.588;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;9;1:38.063;8;1:38.139;4;1:38.160;3;1:38.216;5;1:38.221;6;1:38.471;2;1:44.662;7;;0;;0;;0;1:39.133;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;17;1:42.491;12;1:42.578;13;1:42.780;5;1:42.868;2;1:43.312;15;1:43.370;11;1:43.433;10;1:43.710;7;1:44.308;3;1:44.401;8;1:43.325;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;16;1:39.479;14;1:39.539;7;1:39.555;15;1:39.670;16;1:39.844;8;1:39.865;10;1:39.916;12;1:39.992;9;1:40.055;6;1:40.068;13;1:39.798;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;17;1:39.248;8;1:39.287;15;1:39.304;6;1:39.351;7;1:39.370;5;1:39.401;17;1:39.522;16;1:39.703;14;1:39.747;4;1:39.816;9;1:39.474;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;18;1:39.169;13;1:39.237;16;1:39.282;14;1:39.349;9;1:39.357;6;1:39.378;12;1:39.450;17;1:39.485;18;1:39.497;10;1:39.631;5;1:39.383;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;15;1:38.633;14;1:38.821;10;1:38.906;12;1:38.914;8;1:38.939;13;1:38.944;4;1:39.009;11;1:39.128;6;1:39.131;7;1:39.209;2;1:38.963;
47;TechSport;Toyota GR86;Am;Parker;DeLong;17;1:38.307;12;1:38.669;6;1:38.686;4;1:38.692;7;1:38.788;13;1:38.823;5;1:38.842;9;1:38.973;8;1:39.028;14;1:39.288;15;1:38.809;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;18;1:39.591;15;1:39.752;16;1:39.770;13;1:39.800;2;1:39.803;14;1:39.841;9;1:39.888;4;1:39.934;10;1:39.941;8;1:39.981;7;1:39.830;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;15;1:38.137;2;1:38.435;3;1:38.492;13;1:38.587;11;1:38.590;14;1:38.825;5;1:38.848;4;1:39.487;15;1:40.206;7;1:40.271;8;1:38.987;
58;Copeland Motorsports;Toyota GR86;Am;Liam;Harrison;17;1:40.703;15;1:40.808;8;1:41.029;9;1:41.048;7;1:41.227;14;1:41.233;4;1:41.438;2;1:41.973;6;1:41.999;16;1:42.070;5;1:41.352;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;16;1:38.424;14;1:38.525;15;1:38.552;11;1:38.668;6;1:38.704;7;1:38.708;13;1:38.796;5;1:38.854;2;1:39.016;10;1:39.052;4;1:38.729;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;17;1:40.118;15;1:40.331;7;1:40.496;16;1:40.735;4;1:40.785;11;1:40.847;2;1:41.199;8;1:41.266;9;1:41.404;13;1:41.971;3;1:40.915;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Max;Stallone;15;1:39.378;2;1:39.426;12;1:39.458;11;1:39.661;10;1:39.690;4;1:39.717;5;1:40.174;6;1:40.308;3;1:40.501;7;1:40.765;8;1:39.907;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;18;1:40.167;12;1:40.275;13;1:40.296;3;1:40.297;9;1:40.330;6;1:40.500;11;1:40.569;15;1:40.583;5;1:40.789;4;1:40.833;16;1:40.463;
98;TechSport;Toyota GR86;Am;Max;Schweid;17;1:38.294;17;1:38.318;16;1:38.454;8;1:38.660;6;1:38.726;7;1:38.739;12;1:38.923;4;1:39.133;10;1:39.277;9;1:39.350;11;1:38.787;
111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Isabella;Robusto;16;1:38.876;4;1:39.374;14;1:39.413;8;1:39.508;11;1:39.533;5;1:39.583;6;1:39.616;2;1:39.637;13;1:39.758;7;1:39.793;3;1:39.509;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;17;1:39.419;15;1:39.508;4;1:39.635;14;1:39.669;7;1:39.819;8;1:39.897;11;1:39.912;5;1:39.919;10;1:40.101;6;1:40.326;9;1:39.820;
22;Copeland Motorsports;Toyota GR86;Am;Jeremy;Fletcher;17;1:38.099;15;1:38.116;17;1:38.255;2;1:38.260;7;1:38.277;11;1:38.328;5;1:38.350;12;1:38.436;3;1:38.553;13;1:39.057;8;1:38.373;
